MIC	Group
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
24	Planktonic-5MIC
32	Planktonic-5MIC
32	Planktonic-5MIC
32	Planktonic-5MIC
32	Planktonic-5MIC
32	Planktonic-5MIC
32	Planktonic-5MIC
48	Planktonic-5MIC
64	Planktonic-5MIC
64	Planktonic-5MIC
64	Planktonic-5MIC
64	Planktonic-5MIC
64	Planktonic-5MIC
64	Planktonic-5MIC
64	Planktonic-5MIC
64	Planktonic-5MIC
64	Planktonic-5MIC
24	Planktonic-80MIC
24	Planktonic-80MIC
24	Planktonic-80MIC
24	Planktonic-80MIC
24	Planktonic-80MIC
24	Planktonic-80MIC
20	Planktonic-80MIC
20	Planktonic-80MIC
24	Planktonic-80MIC
20	Planktonic-80MIC
20	Planktonic-80MIC
24	Planktonic-80MIC
24	Planktonic-80MIC
20	Planktonic-80MIC
24	Planktonic-80MIC
20	Planktonic-80MIC
24	Planktonic-80MIC
20	Planktonic-80MIC
